joint,abs_mean,rms,min,max,mean_offset_rad
R_hip_yaw,0.6079,0.6755,-0.9659,0.7786,-0.2196
R_hip_roll,0.2492,0.2973,-0.7806,0.7965,0.0157
R_hip_pitch,0.6010,0.6374,-0.9593,0.2165,-0.2996
R_knee,0.7549,0.8012,-0.1321,0.9999,0.3770
R_foot_pitch,0.5954,0.6675,-0.9993,0.9764,-0.2120
R_foot_roll,0.8218,0.8514,-0.9999,1.0000,0.2631
L_hip_yaw,0.5756,0.6351,-0.7104,0.9866,0.1596
L_hip_roll,0.3308,0.4100,-0.6883,0.9099,0.0054
L_hip_pitch,0.4929,0.5310,-0.2668,0.8614,0.2409
L_knee,0.6864,0.7468,-0.1059,0.9997,0.3419
L_foot_pitch,0.5742,0.6689,-0.9999,0.9838,-0.2060
L_foot_roll,0.7466,0.8017,-1.0000,0.8878,-0.2422
